Employee_id,First_Name,Last_Name,Gender,Salary,Date_of_Birth,Age,Country,Department_id,Date_of_Joining,Manager_id,Currency,End_Date
568,Jessalyn,Werndly,Male,120124,13/03/1998,38,India,17,10/06/2000,9,USD,17/09/2003
922,Roze,Pickover,Female,110054,26/12/1997,22,UAE,12,08/07/2014,5,USD,04/08/2008
695,Ronnica,Eagleston,Female,122386,13/03/1986,55,Japan,6,24/05/2005,10,USD,26/03/2010
919,Thorsten,Surgison,Male,96053,07/02/1987,56,Japan,17,30/04/2010,8,USD,30/12/2011
577,Cob,Cresar,Male,93902,01/10/1981,64,Denmark,12,08/07/2002,9,USD,11/08/2002
909,Justis,Weatherhogg,Female,102395,06/03/1983,56,Brazil,15,17/09/2000,3,USD,08/07/2013
876,Dione,Mather,Male,106302,30/04/1988,30,Brazil,7,19/04/2015,5,USD,10/03/2002
944,Carlee,McMurraya,Male,87755,26/11/1992,33,Germay,15,15/05/2001,7,USD,07/11/2006
905,Willamina,Jelk,Male,82177,21/02/1982,49,USA,12,17/01/2002,9,USD,15/03/2010
928,Beryle,Brizland,Female,127572,19/01/1996,43,Denmark,5,28/04/2011,5,USD,05/04/2014
543,Nickie,MacMichael,Female,105029,09/09/1991,46,Sweden,8,06/06/2008,5,USD,27/11/2008
629,Mar,Borell,Female,130428,17/05/1998,44,Germay,5,26/06/2013,8,USD,07/12/2011
583,Otis,Melding,Male,81920,09/09/1987,52,Japan,19,24/06/2017,5,USD,12/03/2004
610,Minny,Lappine,Male,83197,23/04/1994,36,Japan,8,19/02/2016,2,USD,06/07/2008
998,Rand,Decort,Male,132404,06/08/1996,22,Germay,15,07/02/2001,10,USD,21/05/2006
999,Constancy,Dovinson,Male,107577,17/11/1997,41,Australia,5,21/05/2003,7,USD,01/12/2012
735,Arlina,Shannahan,Female,119523,24/05/1999,53,Sweden,12,14/04/2012,9,USD,16/06/2015
791,Kit,Haward,Female,90560,02/02/1995,36,Canada,16,07/11/2016,1,USD,06/12/2015
784,Bidget,Haffenden,Female,134213,03/09/1980,60,Germay,3,26/07/2010,10,USD,06/06/2011
739,Staford,Mansuer,Female,108863,25/04/1988,29,China,17,29/07/2009,10,USD,27/03/2002
686,Malorie,Kelland,Male,136875,19/05/1997,61,Germay,16,06/07/2007,7,USD,15/04/2013
765,Giselbert,McLagan,Male,107439,06/05/1985,60,USA,14,01/06/2011,5,USD,28/08/2007
558,Bradford,Sadd,Female,129149,10/02/1998,53,Germay,16,10/04/2002,10,USD,30/06/2007
998,Mervin,Dickin,Male,82513,23/05/1995,38,Sweden,18,22/08/2012,9,USD,06/03/2010
753,Toby,Cordle,Male,85727,10/01/1991,51,UAE,12,18/04/2015,10,USD,14/03/2005
655,Daryle,Clackson,Female,81473,14/07/1997,41,UAE,9,16/02/2005,4,USD,19/02/2016
990,Aubrie,Halfacre,Female,88916,17/08/1986,28,China,16,15/12/2007,2,USD,16/06/2006
658,Berri,Ridgeway,Female,127042,05/12/1985,31,Sweden,2,14/05/2003,7,USD,06/07/2006
651,Randi,MacKim,Female,126738,03/11/1998,30,Germay,13,09/06/2003,4,USD,09/05/2008
923,Carlo,Roberds,Female,111373,08/02/1986,29,Denmark,1,02/02/2014,6,USD,18/10/2018
852,Dione,Larmet,Female,133762,27/05/1987,26,Australia,10,21/01/2012,4,USD,10/10/2002
635,Waylen,Stoffer,Male,110111,08/07/1987,40,Sweden,14,11/04/2006,9,USD,12/11/2015
843,Pierson,Washington,Male,132808,02/05/1991,38,Canada,8,07/03/2007,10,USD,25/03/2014
563,Auberon,Whapham,Female,120026,22/08/1983,44,Canada,10,02/05/2000,4,USD,02/10/2013
790,Bernardine,Vicarey,Female,137786,18/05/1983,25,India,2,20/05/2017,9,USD,02/05/2017
936,Oriana,McLarty,Male,93793,05/07/1983,60,Sweden,15,04/08/2004,10,USD,04/02/2005
681,Evania,Monck,Male,106758,25/02/1993,24,China,11,16/05/2008,8,USD,01/10/2006
694,Alano,Dutton,Female,93034,01/11/1994,59,Brazil,5,20/09/2011,7,USD,17/09/2008
550,Leia,Kneaphsey,Male,138903,10/06/1987,48,Canada,17,10/12/2003,9,USD,26/10/2007
764,Allister,Pudney,Male,109891,22/02/1992,60,USA,11,25/10/2002,1,USD,05/07/2012
876,Angela,Train,Male,122078,09/12/1992,32,Canada,6,30/04/2012,5,USD,29/05/2001
576,Merrili,Allabush,Male,148530,13/08/1997,29,Australia,4,10/10/2003,10,USD,03/11/2013
770,Alissa,Antonietti,Female,101662,14/04/1990,51,Japan,1,28/11/2013,8,USD,30/04/2004
965,Evanne,Scullion,Female,148764,09/04/1994,41,Canada,18,14/08/2009,7,USD,25/06/2018
994,Eulalie,Battany,Female,83334,05/03/1992,29,Japan,3,14/09/2012,8,USD,11/09/2005
905,Maurits,Gowdie,Male,126734,30/05/1989,49,China,1,06/04/2002,3,USD,18/02/2001
827,Thomas,Fagence,Female,103913,21/06/1984,25,China,14,12/05/2010,9,USD,29/08/2006
690,Harv,Donoghue,Male,146202,19/07/1981,47,USA,1,22/12/2001,7,USD,25/04/2013
813,Ambrosio,Rubee,Male,146863,26/02/1990,43,China,8,13/01/2003,8,USD,27/12/2011
959,Olga,Saurat,Female,137098,26/10/1990,50,Japan,7,23/03/2001,4,USD,28/03/2002
779,Stearn,Blazy,Female,113341,05/08/1991,41,USA,8,19/06/2007,1,USD,11/12/2010
532,Ronny,Arkell,Male,123496,17/07/1981,41,Australia,5,26/10/2005,4,USD,26/06/2015
725,Kerianne,Mintoff,Male,99198,09/01/1984,47,Canada,15,11/02/2013,1,USD,13/02/2017
582,Briant,Bevens,Male,101717,09/11/1982,33,Sweden,4,07/12/2015,10,USD,20/02/2002
705,Kippy,Hawes,Male,90115,07/10/1998,27,India,4,26/07/2010,5,USD,15/08/2000
508,Chandal,Tibbotts,Male,116106,18/03/1995,30,Brazil,9,15/04/2001,3,USD,17/09/2007
848,Hodge,Crooke,Male,145703,07/12/1984,28,Sweden,20,19/10/2015,7,USD,15/07/2018
655,Linette,Isakov,Male,94225,21/10/1986,33,Canada,12,07/11/2014,1,USD,15/05/2014
917,Rory,Nanninini,Male,149972,03/06/1992,64,Australia,4,25/04/2009,3,USD,21/01/2019
570,Carlen,Faichney,Male,112508,10/06/1992,22,Germay,7,31/07/2009,9,USD,10/06/2000
794,Ivy,Tomasi,Male,131510,17/07/1991,51,China,13,28/06/2012,9,USD,16/10/2004
596,Krystal,Warwick,Male,94537,15/07/1982,45,UAE,6,03/05/2017,5,USD,04/11/2002
635,Aldus,Monard,Male,130577,01/12/1981,62,Germay,16,11/03/2017,2,USD,06/02/2015
507,Sella,Sweet,Male,147457,20/04/1998,50,Japan,17,02/07/2013,6,USD,11/05/2018
855,Eloisa,McDonnell,Female,117441,13/09/1985,42,Germay,4,23/08/2001,9,USD,01/11/2007
808,Morry,Vazquez,Male,147915,22/12/1986,59,Canada,9,04/01/2007,1,USD,16/03/2011
589,Conchita,Brunelleschi,Female,117069,29/03/1982,41,Sweden,15,04/02/2009,7,USD,21/07/2001
908,Horatio,Stollman,Male,130880,05/04/1988,50,USA,19,21/01/2011,2,USD,19/05/2012
671,Merissa,Swigg,Male,92344,16/10/1993,22,India,10,10/09/2001,10,USD,24/10/2008
714,Brok,Basden,Female,120646,22/07/1986,65,Australia,19,05/04/2016,5,USD,17/07/2017
517,Ellerey,Tremathick,Female,90422,21/03/1986,36,Japan,14,14/04/2014,2,USD,03/01/2005
616,Griselda,Pendall,Female,148543,11/01/1993,61,China,2,21/01/2016,9,USD,26/11/2009
579,Kaine,Erratt,Female,101228,22/10/1990,28,China,9,11/04/2000,10,USD,01/02/2017
786,Arney,Sissot,Male,121436,23/05/1988,39,Australia,20,21/04/2015,5,USD,06/09/2002
704,Gweneth,Pidgeley,Male,104178,08/04/1994,23,Canada,18,26/11/2000,8,USD,20/05/2014
650,Giovanni,Bowery,Male,131287,21/09/1985,51,Germay,2,20/09/2011,1,USD,07/08/2010
973,Lurette,Maasz,Male,88365,04/02/1992,27,USA,6,21/11/2016,3,USD,15/10/2000
829,Marian,Netting,Female,101332,28/09/1997,26,India,12,28/05/2014,1,USD,03/10/2002
